분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
콘서트,은평구,[은평문화재단] 포크콘서트-김광석과 친구들,2023-12-02~2023-12-02,은평문화예술회관 공연장,은평문화재단,취학아동이상 관람 가능,"1층 30,000원 2층 20,000원",,,,https://www.efac.or.kr//sub01/sub01.php?type=view&uid=3815,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ffe8f1adeb6343189f81e685f033f432&thumb=Y,2023-11-15,기관,00:00.0,00:00.0,기타,37.6039163,126.9283646,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144224&menuNo=200008
클래식,종로구,앙상블 뷰티풀 랑데부 제 6회 정기연주회 [로맨틱 헤븐],2023-12-02~2023-12-02,세종체임버홀,세종문화회관,만 7세 이상,"R석 50,000원 / S석 : 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34759&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9bf106110df24408aad91ea76a801e05&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144267&menuNo=200008
클래식,서초구,2023 제40회 대한민국국제음악제,2023-12-02~2023-12-02,예술의전당 콘서트홀,기타,7세 이상,"R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원",,,,https://www.mak.or.kr:444/html/assct_event/international.asp?no=12168&skey=&sword=&size=5&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=40edc15082cd4f83846e50aa7a176418&thumb=Y,2023-11-15,시민,00:00.0,00:00.0,기타,37.4802402,127.0142152,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144233&menuNo=200008
콘서트,종로구,2023 변진섭 전국투어 콘서트 : 변천사 - 서울,2023-12-02~2023-12-02,세종대극장,세종문화회관,8세 이상,"VIP석 132,000원 / R석 121,000원 / S석 110,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34545&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=77ec47d1f2704d3a9b7c17a81e3d1576&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144264&menuNo=200008
클래식,강동구,선우예권&국립슬로박필하모닉오케스트라,2023-12-02~2023-12-02,강동아트센터 대극장 한강,강동문화재단,8세 이상 관람가,"R석 100,000원 S석 70,000원 A석 50,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1968&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7073489c754345da815a4e636546e3e5&thumb=Y,2023-08-22,기관,00:00.0,00:00.0,,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142864&menuNo=200008
교육/체험,마포구,[마포구립서강도서관] 12월 해봄맘껏Time 해봄아 노올자!,2023-12-01~2023-12-23,마포구립서강도서관 4층 어린이자료실 내 해봄,마포구청,어린이(초등학생),,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7769,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1cf09cc9ed7d451898f329918fb544f9&thumb=Y,2023-11-15,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144234&menuNo=200011
뮤지컬/오페라,강북구,"뮤지컬 Rabbit, 잊혀진 암호명",2023-12-01~2023-12-10,꿈의숲 퍼포먼스홀,세종문화회관,7세 이상,"전석 55,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34203&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=52ca6730877845e1bc138d1019b13ae2&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144269&menuNo=200008
연극,종로구,연극 [컬렉션],2023-12-01~2023-12-10,세종S씨어터,세종문화회관,만 13세 이상(중학생 이상) 관람가,"R석 45,000원 / S석 35,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33871&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac579cba25bf43b690f7468387af7212&thumb=Y,2023-11-13,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144190&menuNo=200008
축제-문화/예술,영등포구,[영등포문화재단] 2023 누구나술술 [주간술술],2023-12-01~2023-12-09,서울 영등포구 도림로133길 15 술술센터,영등포문화재단,누구나,무료,,,,https://event-us.kr/yeongdeungpocultural/event/74848,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=885df516703d418ea5e8e9399fffc44b&thumb=Y,2023-11-23,기관,00:00.0,00:00.0,기타,37.51301035,126.8941454,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144338&menuNo=200010
독주/독창회,종로구,김지은 피아노 독주회,2023-12-01~2023-12-01,세종체임버홀,세종문화회관,미취학아동입장불가,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34666&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7a59ea77b2644af6ab55bc1db557e08d&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144261&menuNo=200008
